ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude,Longitude,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID
261,100268,I-15,NB,800 S / MP 327.4,KAY,DA,40927,"I-15 NB @ 800 S / MP 327.4, KAY",R1,327.4,41.020999,-111.942700,10.232.8.98,"I-15 NB @ 800 S / MP 327.4, KAY",Daktronics,27x105,10,TRUE,TRUE,10/3/2019,10/3/2029,NA,NA,NA,NA,FALSE,NA
262,100269,I-15,SB,300 S / MP 356.28,WIL,BE,40928,"I-15 SB @ 300 S / MP 356.28, WIL",R1,356.28,41.403782,-112.048274,10.235.10.238,"I-15 SB @ 300 S / MP 356.28, WIL",Daktronics,27x105,10,TRUE,TRUE,10/3/2019,10/3/2029,NA,NA,NA,NA,FALSE,NA
263,100270,I-84 / Weber Canyon,WB,Milepost 91.35,NA,MN,40920,"I-84 / Weber Canyon WB @ Milepost 91.35, MN",R1,91.35,41.139698,-111.848265,10.232.8.154,"I-84 / Weber Canyon WB @ Milepost 91.35, MN",Daktronics,27x105,10,TRUE,TRUE,10/3/2019,10/3/2029,NA,NA,NA,NA,FALSE,NA
264,100271,US-89,SB,Shepard Ln / MP 396.65,FRM,DA,40929,"US-89 SB @ Shepard Ln / MP 396.65, FRM",R1,396.65,40.999555,-111.907388,10.232.13.110,"US-89 SB @ Shepard Ln / MP 396.65, FRM",Daktronics,27x105,10,TRUE,TRUE,10/3/2019,10/3/2029,NA,0,NA,NA,FALSE,NA
265,100273,Deer Valley Dr / SR-224,SB,Milepost 5.27,PKC,SU,40965,"Deer Valley Dr / SR-224 SB @ Milepost 5.27, PKC",R2,5.27,40.652453,-111.501797,10.213.6.50,"Deer Valley Dr / SR-224 SB @ Milepost 5.27, PKC",Daktronics,Daktron 18x75,10,TRUE,TRUE,3/11/2020,3/11/2030,NA,0,NA,NA,FALSE,NA
266,NA,Bangerter Hwy / SR-154,NB,7050 S,WJD,SL,40989,"Bangerter Hwy / SR-154 NB @ 7050 S, WJD",R2,13.79,40.622550,-111.976250,10.212.10.175,"Bangerter Hwy / SR-154 NB @ 7050 S, WJD",NA,NA,10,TRUE,TRUE,4/13/2020,4/13/2030,NA,0,NA,NA,FALSE,NA
267,100275,I-15,NB,Portage / MP 398.06,PTG,BE,40992,"I-15 RWIS NB @ Portage / MP 398.06, BE",R1,398.06,41.967629,-112.180962,10.252.5.206,"I-15 NB @ Portage / MP 398.06, BE",Wanco,NTCIP,10,TRUE,TRUE,6/24/2020,6/24/2030,NA,NA,NA,NA,FALSE,NA
268,100276,I-84,WB,Milepost 16.45,NA,BE,41237,"I-84 WB @ Milepost 16.45, BE",R1,16.45,41.895007,-112.562322,10.252.5.78,"I-84 WB @ Milepost 16.45, BE",Wanco,NTCIP,10,TRUE,TRUE,6/24/2020,6/24/2030,NA,NA,NA,NA,FALSE,NA
269,100277,SR-36,NB,Milepost 62.55,STP,TE,41317,"SR-36 NB @ Milepost 62.55, STP",R2,62.55,40.648412,-112.288370,10.218.6.214,"SR-36 NB @ Milepost 62.55, STP",Daktronics,Color 96x336,10,TRUE,TRUE,8/25/2020,8/25/2030,NA,0,NA,NA,FALSE,NA
270,100278,I-80,WB,Milepost 105.5,NA,SL,41349,"I-80 WB @ Milepost 105.5, SL",R2,105.5,40.758379,-112.167670,10.218.6.86,"I-80 WB @ Milepost 105.5, SL",Daktronics,Color 96x336,10,TRUE,TRUE,12/15/2020,12/1/2030,NA,NA,NA,NA,FALSE,NA
271,100279,US-40,WB,500 E / MP 87,DCH,DU,41549,"US-40 @ 500 E / MP 87, DCH",R3,87,40.162828,-110.393512,10.175.111.142,"US-40 WB @ 500 E / MP 87, DCH",Daktronics,Color 96x336,10,TRUE,TRUE,12/15/2020,12/1/2030,NA,NA,NA,NA,FALSE,NA
272,100280,US-40,SB,2100 S / MP 18.91,HBR,WA,41550,"US-40 SB @ 2100 S / MP 18.91, HBR",R3,18.91,40.481684,-111.402107,10.171.5.76,"US-40 SB @ 2100 S / MP 18.91, HBR",Daktronics,Color 96x336,10,TRUE,TRUE,12/15/2020,12/1/2030,NA,NA,NA,NA,FALSE,NA
273,100281,I-15,NB,950 N / MP 280.8,LHI,UT,6556,"I-15 NB @ 950 N / MP 280.8, LHI",R3,280.8,40.399446,-111.846544,10.212.12.38:161,"I-15 NB @ 950 N / MP 280.8, LHI",Daktronics,Color 96x336,10,TRUE,TRUE,4/5/2021,4/5/2031,NA,NA,NA,NA,FALSE,NA
274,100282,I-15,SB,950 N / MP 280.8,LHI,UT,6090,"I-15 SB @ 950 N / MP 280.8, LHI",R3,280.8,40.398960,-111.846967,10.212.12.38:46002,"I-15 SB @ 950 N / MP 280.8, LHI",Daktronics,Color 96x336,10,TRUE,TRUE,4/5/2021,4/5/2031,NA,NA,NA,NA,FALSE,NA
275,100283,I-15,NB,Milepost 204.4,NA,JU,41726,"I-15 NB @ Milepost 204.4, JU",R3,204.4,39.459999,-112.004800,10.174.5.38:161,"I-15 NB @ Milepost 204.4, JU",Daktronics,Color 96x336,10,TRUE,TRUE,4/5/2021,4/5/2031,NA,NA,NA,NA,FALSE,NA
276,100284,Foothill Dr / SR-186,SB,2180 S / MP 8.12,SLC,SL,41762,"Foothill Dr / SR-186 SB @ 2180 S / MP 8.12, SLC",R2,8.12,40.723982,-111.813874,10.202.5.110,"Foothill Dr / SR-186 SB @ 2180 S / MP 8.12, SLC",Daktronics,Color 48x160,10,TRUE,TRUE,7/1/2021,7/1/2031,NA,NA,NA,NA,FALSE,NA
277,100285,I-15,SB,Milepost 246.48,STQ,UT,41923,"I-15 @ Milepost 246.48, STQ",R3,246.48,39.998004,-111.763321,10.167.10.86,"I-15 SB @ Milepost 246.48, STQ",Daktronics,Color 96x336,10,TRUE,TRUE,7/1/2021,7/1/2031,NA,NA,NA,NA,FALSE,NA
278,100286,I-15,NB,Milepost 246.48,STQ,UT,41923,"I-15 @ Milepost 246.48, STQ",R3,246.48,39.998007,-111.763170,10.167.10.86,"I-15 NB @ Milepost 246.48, STQ",Daktronics,Color 96x336,10,TRUE,TRUE,7/1/2021,7/1/2031,NA,NA,NA,NA,FALSE,NA
279,100287,Mountain View / SR-85,NB,2400 S,WVC,SL,41921,"Mountain View / SR-85 NB @ 2400 S, WVC",R2,22.8,40.718020,-112.029502,10.217.7.154,"Mountain View / SR-85 NB @ 2400 S, WVC",Daktronics,Color 96x336,10,TRUE,TRUE,7/1/2021,7/1/2031,NA,NA,NA,NA,FALSE,NA
280,100288,Mountain View / SR-85,SB,1500 S,SLC,SL,41924,"Mountain View / SR-85 SB @ 1500 S, SLC",R2,NA,40.737249,-112.029749,10.217.7.38,"Mountain View / SR-85 SB @ 1500 S, SLC",Daktronics,Color 96x336,10,TRUE,TRUE,7/1/2021,7/1/2031,NA,NA,NA,NA,FALSE,NA
281,100289,Mountain View / SR-85,NB,3400 S,WVC,SL,41925,"Mountain View / SR-85 NB @ 3400 S, WVC",R2,NA,40.699024,-112.028260,10.217.8.26,"Mountain View / SR-85 NB @ 3400 S, WVC",Daktronics,Color 96x336,10,TRUE,TRUE,7/1/2021,7/1/2031,NA,NA,NA,NA,FALSE,NA
282,100292,I-15,NB,8050 S / MP 296.85,MDV,SL,41955,"I-15 NB @ 8050 S / MP 296.85, MDV",R2,296.85,40.6050529,-111.904137,10.212.6.74,"I-15 NB @ 8050 S / MP 296.85, MDV",Daktronics,Color 96X336,10,TRUE,TRUE,7/28/2021,7/28/2031,NA,NA,NA,20139,FALSE,0
