ID,VMSID,PrimaryLocation,PrimaryDirection,SecondaryLocation,City,County,AIMSID,AIMSLocationName,Region,Milepost,Latitude.x,Longitude.x,IPAddress,VMSLabel,Make,Model,LifeSpanYrs,Availability,Repairability,DateInstalled,EndOfLife,EquipmentNumber,StationID,StationName,ModemPhoneNumber,HasRadar,ITSID,X,Latitude.y,Longitude.y
158,100138,SR-201,WB,4800 W / MP 11.78,SLC,SL,16134,"SR-201 WB @ 4800 W / MP 11.78, SLC",R2,11.78, 40.725948,-112.005614,10.206.8.86:161,"SR-201 WB @ 4800 W / MP 11.78, SLC",NA,NA,NA,FALSE,FALSE,9/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100138,40.726107,-112.00209
160,100139,I-15,NB,Cedar City / 2700 S / MP 54.15,NA,RN,6173,"I-15 NB @ Cedar City / 2700 S / MP 54.1, RN",R4,54.15, 37.628496,-113.120157,166.241.179.174:161,"I-15 NB @ Cedar City / 2700 S / MP 54.15, RN",NA,NA,NA,FALSE,FALSE,11/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100139,37.627782,-113.119951
161,100140,I-15,NB,Fillmore / MP 161.45,FIL,MD,6176,"I-15 NB @ Fillmore / MP 161.43, MD",R3,161.45, 38.926891,-112.371122,166.154.68.99:200,"I-15 NB @ Fillmore / MP 161.43, MD",NA,NA,NA,FALSE,FALSE,11/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100140,38.931807,-112.365068
162,100141,I-15,SB,Scipio / MP 190.66,SCP,MD,6175,"I-15 SB @ Scipio / MP 190.66, MD",R4,190.66, 39.279348,-112.093967,166.154.68.100:200,"I-15 SB @ Scipio / MP 190.66, MD",NA,NA,NA,FALSE,FALSE,11/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100141,39.280265,-112.094556
163,100142,I-15,SB,Toquerville / MP 29.4,TOQ,WN,6172,"I-15 SB @ Toquerville / MP 29.45, WN",R4,29.4, 37.309336,-113.297099,10.132.7.166:161,"I-15 SB @ Toquerville / MP 29.45, WN",NA,NA,NA,FALSE,FALSE,11/1/2012,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
164,100143,I-15,SB,Beaver / MP 113.26,BVR,BV,6177,"I-15 SB @ Beaver / MP 113.3, BV",R4,113.26, 38.314523,-112.654397,10.158.5.26:161,"I-15 SB @ Beaver / MP 113.3, BV",NA,NA,NA,FALSE,FALSE,11/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100143,38.312656,-112.654862
165,100145,I-15,NB,1600 N / MP 267.37,PVO,UT,6178,"I-15 NB @ 1600 N / MP 267.37, PVO",R3,267.37, 40.255658,-111.699345,10.162.12.166:161,"I-15 NB @ 1600 N / MP 267.37, PVO",NA,NA,NA,FALSE,FALSE,11/1/2012,NA,NA,NA,NA,NA,FALSE,NA,100145,40.256307,-111.700179
166,100148,Timpanogos Hwy / 3500 N / SR-92,WB,1800 W / MP 0.86,LHI,UT,6264,"Timpanogos Hwy / 3500 N / SR-92 WB @ 1800 W / MP 0.86, LHI",R3,0.86,40.431861,-111.878594,10.212.20.154:161,"Timpanogos Hwy / 3500 N / SR-92 WB @ 1800 W / MP 0.86, LHI",Daktronics,27x105,10,TRUE,TRUE,2/22/2021,2/22/2031,NA,NA,NA,NA,FALSE,NA,100148,40.432033,-111.87923
167,100149,12th St / Ogden Canyon Rd / SR-39,EB,Harrison Blvd / MP 8,OGD,WB,6338,"12th St / Ogden Canyon Rd / SR-39 EB @ Harrison Blvd / MP 8, OGD",R1,8, 41.240047°,-111.940334°,10.235.11.38:8888,"12th St / Ogden Canyon Rd / SR-39 EB @ Harrison Blvd / MP 8, OGD",NA,NA,NA,FALSE,FALSE,7/1/2013,NA,NA,NA,NA,NA,FALSE,NA,100149,41.240073,-111.94013699999999
168,100153,US-40,NB,2050 S / MP 18.81,HBR,WA,6339,"US-40 @ 2050 S / MP 18.81, HBR",R3,18.81, 40.482900,-111.402958,10.171.5.74,"US-40 NB @ 2050 S / MP 18.81, HBR",Daktronics,27x105,10,TRUE,TRUE,7/21/2020,7/21/2030,NA,NA,NA,NA,FALSE,NA,NA,NA,NA
169,100151,US-40,NB,Moulton Ln / MP 13.67,NA,WA,6340,"US-40 NB @ Moulton Ln / MP 13.67, WA",R3,13.67, 40.552006°,-111.422308°,10.213.8.190:161,"US-40 NB @ Moulton Ln / MP 13.67, WA",NA,NA,NA,FALSE,FALSE,7/1/2013,NA,NA,NA,NA,NA,FALSE,NA,100151,40.551993,-111.422286
186,100176,I-70,EB,Fish Creek / MP 10.81,NA,SE,6440,"I-70 EB @ Fish Creek / MP 10.81, SE",R4,10.81,38.566418,-112.442721,10.252.8.14,"I-70 EB @ Fish Creek / MP 10.81, SE",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,4465,Sevier,NA,FALSE,NA,100176,38.565436,-112.441927
187,100177,I-70,WB,Fish Creek / MP 12.05,NA,SE,6441,"I-70 WB @ Fish Creek / MP 12.05, SE",R4,12.05,38.556964,-112.424795,10.252.8.142,"I-70 WB @ Fish Creek / MP 12.05, SE",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,4465,Sevier,NA,FALSE,NA,100177,38.557548,-112.424562
188,100179,SR-276 / N of Halls Crossing,SB,SR-95 / MP .08,NA,GA,16442,"SR-276 / N of Halls Crossing SB @ SR-95 / MP .08, GA",R4,0.08, 38.024276°,-110.571421°,10.158.6.14:5102,"SR-276 / N of Halls Crossing SB @ SR-95 / MP .08, GA",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100179,38.023132,-110.571823
189,100180,SR-276 / S of Halls Crossing,WB,SR-95 / MP 89.48,NA,SJ,16443,"SR-276 / S of Halls Crossing WB @ SR-95 / MP 89.48, SJ",R4,89.48, 37.559350°,-110.023145°,10.158.6.78:5102,"SR-276 / S of Halls Crossing WB @ SR-95 / MP 89.48, SJ",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100180,37.559048,-110.025053
190,100178,I-15,SB,2000 N / MP 61.27,CDC,RN,16447,"I-15 SB @ 2000 N / MP 61.27, CDC",R4,61.27, 37.713513°,-113.066873°,166.241.154.122:161,"I-15 SB @ 2000 N / MP 61.27, CDC",NA,NA,NA,FALSE,FALSE,3/1/2014,NA,NA,NA,NA,NA,FALSE,NA,100178,37.712759,-113.067513
