IntId,RwisLocationIntId,ExtId,AgencyIdentifier,OutsideAgencyIdentifier,ControllerMakerId,Model,IsActive,SerialNumber,CommunicationTypeId,CommunicationNumber,PowerSourceId,Comments,Latitude,Longitude,XGeoCoordinate,YGeoCoordinate,MapLevel,DateCreated,LastUpdated,NumberOfPavementSensors,AtmosphericFile,SurfaceFile,DetailViewUrl
116,199,113,rey,REY,3,unknown,1,NULL,4,NULL,0,NULL,40.662117,-111.646764,-111646764,40662117,5,30/10/2015 12:52:13 PM,09/11/2015 09:13:00 AM,NULL,727,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=REY
117,200,114,agd,AGD,3,unknown,1,NULL,4,NULL,0,NULL,40.5905,-111.638,-111638000,40590500,5,30/10/2015 12:55:00 PM,09/11/2015 09:14:06 AM,NULL,726,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=AGD
118,201,115,spc,SPC,3,unknown,1,NULL,4,NULL,0,NULL,NULL,NULL,-111636000,40641000,5,30/10/2015 12:57:03 PM,09/11/2015 09:15:30 AM,NULL,728,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=SPC
119,202,116,dcc,NULL,3,unknown,1,NULL,4,NULL,0,NULL,40.40147,-111.520649,-111520649,40401470,5,30/10/2015 01:00:42 PM,09/11/2015 09:16:53 AM,NULL,724,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=DCC
120,203,117,elbut,ELBUT,3,unknown,1,NULL,4,NULL,0,NULL,40.57579,-111.68773,-111687730,40575790,5,30/10/2015 01:04:52 PM,09/11/2015 09:30:17 AM,NULL,730,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=ELBUT
121,204,120,alt,NULL,3,unknown,1,NULL,0,NULL,0,NULL,40.571,-111.631,NULL,NULL,NULL,04/02/2016 09:18:53 AM,18/02/2016 10:31:52 AM,NULL,736,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=ALT
122,205,118,atb,NULL,3,unknown,1,NULL,0,NULL,0,NULL,40.589,-111.637,NULL,NULL,NULL,04/02/2016 09:18:53 AM,18/02/2016 10:33:08 AM,NULL,734,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=ATB
123,206,119,amb,NULL,3,unknown,1,NULL,0,NULL,0,NULL,40.5677,-111.6374,NULL,NULL,NULL,04/02/2016 09:18:53 AM,18/02/2016 10:31:52 AM,NULL,735,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=AMB
124,207,121,UT201,UT201,3,CSI,1,NULL,4,166.241.179.176,2,NULL,40.72255,-112.22569,-112225690,40722550,5,17/02/2016 05:12:40 PM,18/02/2016 03:30:33 PM,1,737,738,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=ut201&product=roads
125,208,122,UTI70,UTI70,3,CSI,1,NULL,2,10.135.5.156,2,NULL,38.5771,-112.6038,-112603800,38577100,5,24/02/2016 05:08:16 PM,24/02/2016 05:08:16 PM,1,739,740,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?stn=uti70&product=roads
126,209,123,UTPKL,UTPKL,3,CSI,1,NULL,6,166.161.134.155,1,NULL,40.98985,-111.9013,-111901300,40989850,5,07/06/2016 12:11:25 PM,07/06/2016 12:11:25 PM,0,743,744,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpkl
127,210,124,UTPCH,UTPCH,3,CSI,1,40004,2,10.136.6.156,1,NULL,38.4809,-112.6166,-112616600,38480900,5,07/06/2016 12:23:44 PM,07/06/2016 12:23:44 PM,1,745,746,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utpch
128,211,125,UTLPC,UTLPC,3,CSI,1,39586,2,10.166.9.168,2,NULL,40.3284,-111.639,-111639000,40328400,5,07/06/2016 12:36:01 PM,07/06/2016 12:36:01 PM,1,747,748,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utlpc
129,212,126,UTDCD,UTDCD,3,CSI,1,NULL,2,10.166.10.88,2,NULL,40.40525,-111.5266,-111526600,40405250,5,15/06/2016 09:45:54 AM,15/06/2016 09:45:54 AM,1,749,750,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=utdcd
130,213,127,UTTP2,UTTP2,3,CSI,1,NULL,4,166.154.174.246,1,NULL,38.9503,-109.6858,-109685800,38950300,5,15/06/2016 09:45:54 AM,15/06/2016 09:45:54 AM,0,751,752,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=uttp2
131,214,128,ut14s,ut14s,3,CSI,1,NULL,4,166.241.153.252,1,NULL,37.56805,-112.85013,-112850130,37568050,5,03/08/2016 02:33:56 PM,04/08/2016 08:38:24 AM,1,766,767,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=ut14s
132,215,129,UTTP3,UTTP3,3,CSI,1,NULL,4,166.154.68.92,1,NULL,37.30665,-113.2981,-113298100,37306650,5,30/08/2016 04:18:04 PM,30/08/2016 04:18:04 PM,0,768,769,http://mesowest.utah.edu/cgi-bin/droman/meso_base.cgi?product=roads&stn=uttp3
133,216,130,UTMPK,UTMPK,3,CSI,1,NULL,4,166.154.68.96,1,NULL,39.614327,-111.177347,-111177347,39614327,5,22/12/2016 11:19:57 AM,22/12/2016 01:26:14 PM,NULL,770,NULL,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utmpk
134,217,131,UTCHL,UTCHL,3,CSI,1,NULL,2,10.170.5.88,2,NULL,40.4558,-111.4707,-111470700,40455800,5,20/02/2017 05:43:35 PM,20/02/2017 05:56:07 PM,NULL,771,772,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=UTCHL
135,218,132,UTUSU,UTUSU,3,CSI,1,NULL,4,166.248.124.100,1,NULL,41.73977,-111.8112,-111811200,41739770,5,13/07/2017 05:26:13 PM,13/07/2017 05:26:13 PM,1,773,774,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utusu
136,219,133,UTCIR,UTCIR,3,CSI,1,NULL,4,166.140.120.238,1,NULL,39.0202,-112.3047,-112304700,39020200,5,17/07/2017 11:20:22 AM,17/07/2017 11:20:22 AM,1,775,776,http://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?product=roads&stn=utcir
